ticker,period_end,revenue,operating_cash_flow,capex_raw,cash,debt,capex_spend,free_cash_flow,revenue_ttm,fcf_ttm,fcf_margin_ttm_pct,revenue_ttm_yoy_pct,fcf_ttm_yoy_pct
LYFT,2025-12-31,1592711000,279461000,-18602000,1132009000,1276733000,18602000.0,260859000.0,6316261000.0,1148852000.0,18.1887987212688,9.164250496369174,49.92841901069938
LYFT,2025-09-30,1685195000,291251000,-13434000,1305908000,1273500000,13434000.0,277817000.0,6273827000.0,1027944000.0,16.384640507301203,14.898438261172785,60.30190772734419
LYFT,2025-06-30,1588183000,343728000,-14286000,913845000,769668000,14286000.0,329442000.0,6111324000.0,992969000.0,16.248017614513646,19.943193393288006,169.53629008347937
LYFT,2025-03-31,1450172000,287234000,-6500000,985494000,1182803000,6500000.0,280734000.0,5958987000.0,919930001.0,15.437691020302612,27.3221982965838,-601361.4385620914
LYFT,2024-12-31,1550277000,153366000,-13415000,759319000,1172313000,13415000.0,139951000.0,5786016000.0,766267001.0,13.243430384568589,31.393188601388555,-408.9001588306196
LYFT,2024-09-30,1522692000,263992000,-21150000,770298000,1149930000,21150000.0,242842000.0,5460324000.0,641255001.0,11.74390019713116,25.40948590673946,-294.83334882873027
LYFT,2024-06-30,1435846000,276202000,-19798999,604357000,1163871000,19798999.0,256403001.0,5095182000.0,368399001.0,7.23034036860705,19.879132270780218,-203.94947009328394
LYFT,2024-03-31,1277201000,156177000,-29106000,507918000,1139561000,29106000.0,127071000.0,4680242000.0,-153000.0,-0.0032690617280046633,10.903370245500831,-99.94732148698014
LYFT,2023-12-31,1224585000,43508000,-28569000,558636000,1041818000,28569000.0,14939000.0,4403589000.0,-248063000.0,-5.633200555274345,7.532205897974054,-29.57857234105974
LYFT,2023-09-30,1157550000,2261000,-32275000,590541000,1044482000,32275000.0,-30014000.0,4353996000.0,-329130000.0,-7.559262801343869,11.92573101399561,-1.707053391708424
LYFT,2023-06-30,1020906000,-69973000,-42176000,638434000,1028663000,42176000.0,-112149000.0,4250266000.0,-354402000.0,-8.338348705704538,14.851535982355578,29.253224018206225
LYFT,2023-03-31,1000548000,-74040000,-46799000,509576000,1026767000,46799000.0,-120839000.0,4220108000.0,-290441000.0,-6.88231201665929,21.444123607385237,6.232603392087088
LYFT,2022-12-31,1174992000,-33559000,-32569000,281090000,1061653000,32569000.0,-66128000.0,4095135000.0,-352255000.0,-8.601792126511091,27.640982531995697,94.72683350193756
LYFT,2022-09-30,1053820000,-26195000,-29091000,143715000,1078435000,29091000.0,-55286000.0,3890076000.0,-334846000.0,-8.607698152940971,38.52215064790778,-20.196098058562484
LYFT,2022-06-30,990748000,-25188000,-23000000,239299000,1098655000,23000000.0,-48188000.0,3700661000.0,-274192000.0,-7.409270938353986,51.442436167160956,-53.93287309665138
LYFT,2022-03-31,875575000,-152343000,-30310000,214868000,1095053000,30310000.0,-182653000.0,3474938000.0,-273401000.0,-7.8677950513073895,72.20318455208286,-79.30794643093655
LYFT,2021-12-31,969933000,-26219000,-22500000,457325000,975434000,22500000.0,-48719000.0,3208323000.0,-180897000.0,-5.638366211880786,35.67677838998156,-87.71529155784094
LYFT,2021-09-30,864405000,41530000,-36162000,728382000,989818000,36162000.0,5368000.0,2808270000.0,-419586000.0,-14.94108472475937,-0.1280641964016116,-67.24487071596859
LYFT,2021-06-30,765025000,-37568000,-9829000,484181000,992537000,9829000.0,-47397000.0,2443609000.0,-595201000.0,-24.35745653253037,-25.219870093107588,-48.72833211442729
LYFT,2021-03-31,608960000,-79464000,-10685000,312230000,995433000,10685000.0,-90149000.0,2017929000.0,-1321285000.0,-65.47727893300508,-46.83567614990337,218.19867594325197
LYFT,2020-12-31,569880000,-264613000,-22795000,319734000,995090000,22795000.0,-287408000.0,2364681000.0,-1472538000.0,-62.27216271454796,-34.60433743736103,418.8829768490786
LYFT,2020-09-30,499744000,-155638000,-14609000,424806000,986950000,14609000.0,-170247000.0,2811871000.0,-1280978000.0,-45.55607280703845,-13.969413683223419,254.5734112430212
LYFT,2020-06-30,339345000,-751722000,-21759000,841061000,1004261000,21759000.0,-773481000.0,3267725000.0,-1160877000.0,-35.52554146998294,20.578256080618583,194.76002823495958
LYFT,2020-03-31,955712000,-206926000,-34476000,597889000,478096000,34476000.0,-241402000.0,3795645000.0,-415239000.0,-10.939879783277942,,
LYFT,2019-12-31,1017070000,-46191000,-49657000,358319000,476276000,49657000.0,-95848000.0,3615960000.0,-283790000.0,-7.848261595814113,,
LYFT,2019-09-30,955598000,10000000,-60146000,543871000,448035000,60146000.0,-50146000.0,3268455000.0,-361273000.0,-11.053326418751368,,
LYFT,2019-06-30,867265000,15316000,-43159000,417393000,387622000,43159000.0,-27843000.0,2710045000.0,-393838000.0,-14.532526212664365,,
LYFT,2019-03-31,776027000,-84827000,-25126000,329515000,337431000,25126000.0,-109953000.0,,,,,
LYFT,2018-12-31,669565000,-133093000,-40238000,517690000,0,40238000.0,-173331000.0,,,,,
LYFT,2018-03-31,397188000,-79623000,-3088000,-2390744000,0,3088000.0,-82711000.0,,,,,
