ticker,period_end,revenue,operating_cash_flow,capex_raw,cash,debt,capex_spend,free_cash_flow,revenue_ttm,fcf_ttm,fcf_margin_ttm_pct,revenue_ttm_yoy_pct,fcf_ttm_yoy_pct
UBER,2025-12-31,14366000000,2883000000,-75000000,7736000000,13470000000,75000000.0,2808000000.0,52017000000.0,9763000000.0,18.768864025222523,18.27959434262585,41.59535895576505
UBER,2025-09-30,13467000000,2328000000,-98000000,8909000000,13340000000,98000000.0,2230000000.0,49610000000.0,8661000000.0,17.458173755291273,18.245739482779165,45.39197582675845
UBER,2025-06-30,12651000000,2564000000,-89000000,7629000000,12342000000,89000000.0,2475000000.0,47331000000.0,8540000000.0,18.04314297183664,18.15322399460795,79.6759941089838
UBER,2025-03-31,11533000000,2324000000,-74000000,6385000000,11124000000,74000000.0,2250000000.0,45380000000.0,7786000000.0,17.157338034376377,17.598279302391884,86.62511984659635
UBER,2024-12-31,11959000000,1750000000,-44000000,6438000000,11436000000,44000000.0,1706000000.0,43978000000.0,6895000000.0,15.678293692300697,17.963573938467327,105.08625817965496
UBER,2024-09-30,11188000000,2151000000,-42000000,7083000000,13288000000,42000000.0,2109000000.0,41955000000.0,5957000000.0,14.198546061256106,16.697263017356477,160.01745962461808
UBER,2024-06-30,10700000000,1820000000,-99000000,5273000000,11297000000,99000000.0,1721000000.0,40059000000.0,4753000000.0,11.864999126288724,14.444476187755328,172.53440366972478
UBER,2024-03-31,10131000000,1416000000,-57000000,5827000000,11314000000,57000000.0,1359000000.0,38589000000.0,4172000000.0,10.811371116121174,14.013472788512683,323.1237322515213
UBER,2023-12-31,9936000000,823000000,-55000000,5485000000,11830000000,55000000.0,768000000.0,37281000000.0,3362000000.0,9.017998444247741,16.952661793769796,762.051282051282
UBER,2023-09-30,9292000000,966000000,-61000000,5281000000,11144000000,61000000.0,905000000.0,35952000000.0,2291000000.0,6.372385402759234,23.767557146791507,352.76679841897237
UBER,2023-06-30,9230000000,1190000000,-50000000,5904000000,11184000000,50000000.0,1140000000.0,35003000000.0,1744000000.0,4.982430077421935,36.99804305283758,159.52380952380955
UBER,2023-03-31,8823000000,606000000,-57000000,4942000000,11256000000,57000000.0,549000000.0,33846000000.0,986000000.0,2.9131950599775456,58.11454732318042,-1012.9629629629629
UBER,2022-12-31,8607000000,-244000000,-59000000,4888000000,11717000000,59000000.0,-303000000.0,31877000000.0,390000000.0,1.2234526461084794,82.62389000286451,-152.4899057873486
UBER,2022-09-30,8343000000,432000000,-74000000,5458000000,11265000000,74000000.0,358000000.0,29048000000.0,506000000.0,1.7419443679427156,95.71486322598032,-134.09703504043128
UBER,2022-06-30,8073000000,439000000,-57000000,4923000000,11459000000,57000000.0,382000000.0,25550000000.0,672000000.0,2.63013698630137,99.4535519125683,-126.40471512770137
UBER,2022-03-31,6854000000,15000000,-62000000,4727000000,11424000000,62000000.0,-47000000.0,21406000000.0,-108000000.0,-0.5045314397832383,98.31387808041505,-96.80662329982259
UBER,2021-12-31,5778000000,-107000000,-80000000,4926000000,11604000000,80000000.0,-187000000.0,17455000000.0,-743000000.0,-4.256659982812947,56.701678786246525,-77.89348408211842
UBER,2021-09-30,4845000000,614000000,-90000000,6896000000,11205000000,90000000.0,524000000.0,14842000000.0,-1484000000.0,-9.998652472712573,23.241717180104615,-66.37970095151789
UBER,2021-06-30,3929000000,-341000000,-57000000,4767000000,9755000000,57000000.0,-398000000.0,12810000000.0,-2545000000.0,-19.86729117876659,-1.7863988346239368,-47.891072891072895
UBER,2021-03-31,2903000000,-611000000,-71000000,5083000000,9764000000,71000000.0,-682000000.0,10794000000.0,-3382000000.0,-31.332221604595144,-24.49636261891438,-28.33227378681924
UBER,2020-12-31,3165000000,-805000000,-123000000,5897000000,10374000000,123000000.0,-928000000.0,11139000000.0,-3361000000.0,-30.173265104587486,-21.26245847176079,-31.533917294764713
UBER,2020-09-30,2813000000,-406000000,-131000000,6372000000,9922000000,131000000.0,-537000000.0,12043000000.0,-4414000000.0,-36.65199701071162,-7.7306159975482736,16.005256241787123
