period_end,revenue,operating_cash_flow,capex_raw,cash,debt,capex_spend,free_cash_flow,revenue_qoq_pct,fcf_qoq_pct,fcf_margin_pct,revenue_ttm,fcf_ttm,fcf_margin_ttm_pct,revenue_ttm_yoy_pct,fcf_ttm_yoy_pct
2025-12-31,14366000000,2883000000,-75000000,7736000000,13470000000,75000000.0,2808000000.0,6.675577337194616,25.91928251121076,19.546150633440067,52017000000.0,9763000000.0,18.768864025222523,18.27959434262585,41.59535895576505
2025-09-30,13467000000,2328000000,-98000000,8909000000,13340000000,98000000.0,2230000000.0,6.450082997391515,-9.898989898989896,16.55899606445385,49610000000.0,8661000000.0,17.458173755291273,18.245739482779165,45.39197582675845
2025-06-30,12651000000,2564000000,-89000000,7629000000,12342000000,89000000.0,2475000000.0,9.693921789647097,10.000000000000009,19.56367085605881,47331000000.0,8540000000.0,18.04314297183664,18.15322399460795,79.6759941089838
2025-03-31,11533000000,2324000000,-74000000,6385000000,11124000000,74000000.0,2250000000.0,-3.56217075006271,31.88745603751466,19.509234370935577,45380000000.0,7786000000.0,17.157338034376377,17.598279302391884,86.62511984659635
2024-12-31,11959000000,1750000000,-44000000,6438000000,11436000000,44000000.0,1706000000.0,6.891312120128701,-19.108582266477004,14.265406806589178,43978000000.0,6895000000.0,15.678293692300697,17.963573938467327,105.08625817965496
2024-09-30,11188000000,2151000000,-42000000,7083000000,13288000000,42000000.0,2109000000.0,4.560747663551412,22.545031958163865,18.850554165176973,41955000000.0,5957000000.0,14.198546061256106,16.697263017356477,160.01745962461808
2024-06-30,10700000000,1820000000,-99000000,5273000000,11297000000,99000000.0,1721000000.0,5.616424834665867,26.637233259749827,16.08411214953271,40059000000.0,4753000000.0,11.864999126288724,14.444476187755328,172.53440366972478
2024-03-31,10131000000,1416000000,-57000000,5827000000,11314000000,57000000.0,1359000000.0,1.962560386473422,76.953125,13.414273023393545,38589000000.0,4172000000.0,10.811371116121174,14.013472788512683,323.1237322515213
2023-12-31,9936000000,823000000,-55000000,5485000000,11830000000,55000000.0,768000000.0,6.930693069306937,-15.138121546961326,7.729468599033816,37281000000.0,3362000000.0,9.017998444247741,16.952661793769796,762.051282051282
2023-09-30,9292000000,966000000,-61000000,5281000000,11144000000,61000000.0,905000000.0,0.6717226435536405,-20.614035087719294,9.739560912613001,35952000000.0,2291000000.0,6.372385402759234,23.767557146791507,352.76679841897237
2023-06-30,9230000000,1190000000,-50000000,5904000000,11184000000,50000000.0,1140000000.0,4.612943443273254,107.65027322404373,12.351029252437703,35003000000.0,1744000000.0,4.982430077421935,36.99804305283758,159.52380952380955
2023-03-31,8823000000,606000000,-57000000,4942000000,11256000000,57000000.0,549000000.0,2.5095852213314673,-281.18811881188117,6.222373342400544,33846000000.0,986000000.0,2.9131950599775456,58.11454732318042,-1012.9629629629629
2022-12-31,8607000000,-244000000,-59000000,4888000000,11717000000,59000000.0,-303000000.0,3.1643293779216153,-184.6368715083799,-3.520390379923318,31877000000.0,390000000.0,1.2234526461084794,82.62389000286451,-152.4899057873486
2022-09-30,8343000000,432000000,-74000000,5458000000,11265000000,74000000.0,358000000.0,3.3444816053511683,-6.282722513089,4.29102241399976,29048000000.0,506000000.0,1.7419443679427156,95.71486322598032,-134.09703504043128
2022-06-30,8073000000,439000000,-57000000,4923000000,11459000000,57000000.0,382000000.0,17.785234899328863,-912.7659574468086,4.731822123126471,25550000000.0,672000000.0,2.63013698630137,99.4535519125683,-126.40471512770137
2022-03-31,6854000000,15000000,-62000000,4727000000,11424000000,62000000.0,-47000000.0,18.622360678435435,-74.8663101604278,-0.685730960023344,21406000000.0,-108000000.0,-0.5045314397832383,98.31387808041505,-96.80662329982259
2021-12-31,5778000000,-107000000,-80000000,4926000000,11604000000,80000000.0,-187000000.0,19.25696594427244,-135.68702290076337,-3.236413984077535,17455000000.0,-743000000.0,-4.256659982812947,56.701678786246525,-77.89348408211842
2021-09-30,4845000000,614000000,-90000000,6896000000,11205000000,90000000.0,524000000.0,23.31382031051159,-231.6582914572864,10.815273477812177,14842000000.0,-1484000000.0,-9.998652472712573,23.241717180104615,-66.37970095151789
