ticker,articles_7d,articles_30d,neg_7d,neg_30d,shock_7d,shock_30d,pos_hits_7d,neg_hits_7d,proxy_score_7d,proxy_score_30d
DASH,90,169,0,6,0,-16,15,14,66,39
GM,56,206,0,8,0,-23,9,0,68,57
LYFT,10,66,0,2,0,-6,0,1,49,42
